store_id,store_address,product_id,sku_id,master_product_id,name,trademark,presentation,price,in_stock,category_name,cold_beer
184221,,2114318537,184221_2114318537,681636,Corona Cerveza Cero,Corona 0,1 X 330 mL,2638.3,True,Cervezas,False
184221,,2469339,184221_2469339,262474,Cerveza Andes Origen Rubia 473 cc,Andes Origen,1 X 473 mL,2714.25,True,Cervezas,True
184221,,2114084425,184221_2114084425,612401,Michelob Cerveza Light Ultra,Michelob Ultra,1 X 473 mL,2535.2,True,Cervezas,True
184221,,2111346548,184221_2111346548,85169,1890 Cerveza Rubia,1890,1 X 473 mL,2439,True,Cervezas,False
184221,,2114833020,184221_2114833020,871704,Heineken Cerveza Sin Alcohol,Heineken,1 x 473 mL,3055.2,True,Cervezas,False
184221,,2114629803,184221_2114629803,629042,Stella Artois Cerveza,Stella Artois,1 x 330 mL,3381.75,True,Cervezas,False
184221,,2469564,184221_2469564,16264,Schneider Cerveza Rubia Lager,Schneider,1 X 473.0 mL,2256.75,True,Cervezas,False
184221,,2469420,184221_2469420,63327,Stella Artois Cerveza Rubia,Stella Artois,1 X 473 mL,3396.75,True,Cervezas,True
184221,,2482879,184221_2482879,606296,Amstel Cerveza Lager Pura Malta ,Amstel,1 X 473 mL,2346.75,True,Cervezas,False
184221,,2469409,184221_2469409,442640,Cerveza Andes Origen Roja 473 cc,Andes Origen,1 X 473 mL,2744.25,True,Cervezas,True
184221,,2482851,184221_2482851,628296,Cerveza Patagonia Amber Lager 730 cc,Patagonia,1 X 730 mL,5856.75,True,Cervezas,True
184221,,1074392807,184221_1074392807,2621,Rabieta Cerveza Red Honey,Rabieta,1 X 473 mL,3467.15,True,Cervezas,False
184221,,2482839,184221_2482839,228999,Cerveza Patagonia Amber Lager 473 cc,Patagonia,1 X 473 mL,4221.75,True,Cervezas,False
184221,,1074392805,184221_1074392805,16183,Kunstmann Torobayo Lata 470ml,Kunstmann,1 X 470 mL,5179,True,Cervezas,False
184221,,1074392811,184221_1074392811,48040,Antares Cerveza Artesanal Honey,Antares,1 X 473 mL,4729,True,Cervezas,False
184221,,2114263233,184221_2114263233,448096,Imperial Cerveza Roja Amber Lager Lata,Imperial,1 X 473 mL,2811.75,True,Cervezas,False
184221,,1074392822,184221_1074392822,57990,Antares Cerveza Scotch,Antares,1 X 473 mL,4749,True,Cervezas,False
184221,,1074392815,184221_1074392815,86175,Rabieta Cerveza Irish Red Ale,Rabieta,1 X 473 mL,3458.65,True,Cervezas,False
184221,,1074392831,184221_1074392831,14038,Pampa Brewing Amber Ale Lata 473ml,Pampa,1 X 473 mL,2693.65,True,Cervezas,True
184221,,2114630022,184221_2114630022,285422,Salta Cerveza Cautiva Roja,Salta,1 X 473 mL,3529,True,Cervezas,False
184221,,2111346558,184221_2111346558,288198,Cerveza Patagonia Ipa 730 cc,Patagonia,1 X 730 mL,3864.5,False,Cervezas,True
184221,,2482853,184221_2482853,300550,Cerveza Quilmes Stout 473 cc,Quilmes,1 X 473 mL,2279.2,True,Cervezas,False
